comparison,cond_a,cond_b,metric,n_pairs,mean_diff,sd_diff,ci95_lo,ci95_hi,cohens_dz,t,df,p_one_sided,p_wilcoxon,p_permutation,n_positive,p_holm,p_permutation_holm,p_tost,tost_bound
H1a,rot05,baseline,test_macro_f1,45,0.006258980139361866,0.012197047292142046,0.0026846268245841825,0.00975740639091954,0.5131553555092155,3.442350773810031,44,0.0006380588234017906,0.0009851803896196998,0.0008999100089991,33,0.0006380588234017906,0.0008999100089991,,
H1b,rot10,baseline,test_macro_f1,45,0.015578710184724422,0.01080313481784539,0.012427764371293724,0.018701887325505803,1.442054593171456,9.673596292791538,44,9.202722063969436e-13,2.5693225325085223e-11,9.999000099990002e-05,43,2.760816619190831e-12,0.00029997000299970003,,
H1c,rot20,baseline,test_macro_f1,45,0.019008084522652922,0.013463714655114757,0.01501764094312196,0.02289618049650508,1.4118009041012989,9.470648376798497,44,1.7395105964539741e-12,4.942535269947257e-11,9.999000099990002e-05,41,3.4790211929079482e-12,0.00029997000299970003,,
H2,rot10,rot20,test_macro_f1,45,-0.0034293743379285022,0.017229682234614085,-0.00839831016844876,0.0014723898899912495,-0.19903874553408527,-1.335192495511492,44,0.9056597967527158,0.9267114669297314,0.9069093090690931,19,,,0.024807942681959877,0.008614841117307042
