comparison,cond_a,cond_b,metric,n_pairs,mean_diff,sd_diff,ci95_lo,ci95_hi,cohens_dz,t,df,p_one_sided,p_wilcoxon,p_permutation,n_positive,p_holm,p_permutation_holm,extra_correct_per_run,p_tost,tost_bound
H1a,rot05,baseline,test_acc,45,0.006241592682270652,0.013010040798815648,0.002439243117209222,0.00993677697067528,0.47975196840572915,3.218274041083625,44,0.0012114701675621706,0.001824325709806199,0.0010998900109989002,32,0.0012114701675621706,0.0010998900109989002,7.733333333333338,,
H1b,rot10,baseline,test_acc,45,0.015639852927988522,0.011276205497712296,0.012321764864137743,0.018850327324903597,1.3869783528831146,9.304133641102005,44,2.9438042849347914e-12,3.155129036037151e-08,9.999000099990002e-05,41,5.887608569869583e-12,0.00029997000299970003,19.37777777777778,,
H1c,rot20,baseline,test_acc,45,0.019191103936866648,0.012965000869905284,0.015442561205273066,0.02293964666846022,1.4802238834718142,9.92964367608511,44,4.1513960938782086e-13,1.0764064213018958e-08,9.999000099990002e-05,41,1.2454188281634625e-12,0.00029997000299970003,23.777777777777775,,
H2,rot10,rot20,test_acc,45,-0.0035512510088781253,0.016497122013969037,-0.008375930409828713,0.001147879113980816,-0.21526488110296343,-1.4440407219439082,44,0.9220945807459517,0.9157910910774387,0.9216078392160784,17,,,-4.399999999999997,0.03132855459297529,0.008248561006984519
